source_id,ra,dec,parallax,parallax_error,distance,g_mag,bp_mag,rp_mag,abs_g_mag,bp_rp_color,teff,logg,mh,ag,ebpminrp,stellar_type
3515344832709632,46.28717803955078,4.626796722412109,0.9994707703590393,0.057560354471206665,1000.5295098732809,16.405487060546875,16.966983795166016,15.656603813171387,6.4043375487785426,1.310379981994629,4787.5947265625,4.661099910736084,-0.4810999929904938,0.3050000071525574,0.16300000250339508,Red MS
3515727085106432,46.32875442504883,4.642841815948486,1.9825735092163086,0.01486858632415533,504.39491668346255,13.08959674835205,13.561796188354492,12.450839042663574,4.5757432429412646,1.110957145690918,6001.73974609375,4.26200008392334,0.09019999951124191,0.7213000059127808,0.38659998774528503,Sub-Giant
3516070682489984,46.294097900390625,4.676451683044434,1.1563442945480347,0.03789551556110382,864.7943391209943,15.613811492919922,16.153610229492188,14.915390014648438,5.929247302442967,1.23822021484375,5216.27783203125,4.554299831390381,-0.20839999616146088,0.5178999900817871,0.27709999680519104,Red MS
3516105042249728,46.32362365722656,4.672776699066162,1.486879587173462,0.025440141558647156,672.5494173344505,14.575550079345703,15.024827003479004,13.95753002166748,5.4369290754740955,1.0672969818115234,5507.92822265625,4.468699932098389,-0.21850000321865082,0.39160001277923584,0.2101999968290329,Red MS
3516139401966208,46.32611846923828,4.691114902496338,1.4588605165481567,0.03208785504102707,685.4664915917547,15.06812572479248,15.645506858825684,14.348892211914062,5.888194577031241,1.296614646911621,4738.14306640625,4.360400199890137,9.999999747378752e-05,0.23919999599456787,0.12620000541210175,Red MS
3516551718826240,46.40513610839844,4.6684346199035645,1.1687147617340088,0.0227159783244133,855.6407711632831,14.054323196411133,14.41567325592041,13.51397705078125,4.39286584409129,0.9016962051391602,6195.05078125,4.194200038909912,-1.0643999576568604,0.48350000381469727,0.2644999921321869,Sub-Giant
3517513791500160,46.397796630859375,4.709260940551758,1.725398302078247,0.045506373047828674,579.5763208967444,16.04414176940918,16.746936798095703,15.23205852508545,7.228588601027299,1.514878273010254,4474.99560546875,4.618199825286865,-0.16279999911785126,0.37450000643730164,0.1981000006198883,Red MS
3518200986267392,46.387054443359375,4.740772724151611,0.6178134679794312,0.03588045388460159,1618.6115256932096,15.578998565673828,15.97383975982666,15.010526657104492,4.533285422870652,0.963313102722168,5333.884765625,4.3059000968933105,-1.392899990081787,0.11649999767541885,0.06360000371932983,Sub-Giant
3518441504449664,47.110450744628906,4.194277763366699,0.6235694885253906,0.044365305453538895,1603.6705105068363,15.560248374938965,15.982160568237305,14.970850944519043,4.5346726592128555,1.0113096237182617,5638.8701171875,4.443999767303467,-0.33559998869895935,0.3612000048160553,0.19470000267028809,Sub-Giant
3518540288105600,47.1019172668457,4.211637020111084,1.067057728767395,0.06763871014118195,937.1564190394307,16.49304962158203,17.171232223510742,15.707094192504883,6.6339892004612935,1.4641380310058594,4588.78173828125,4.548900127410889,0.1071000024676323,0.2680000066757202,0.14069999754428864,Red MS
3518609007582720,47.13922119140625,4.216587066650391,1.3856909275054932,0.053711969405412674,721.6616491818921,15.617396354675293,16.088939666748047,14.979748725891113,6.32572822233379,1.1091909408569336,5252.568359375,4.628499984741211,-0.6837000250816345,0.32519999146461487,0.17560000717639923,Red MS
3518815166013440,47.084598541259766,4.22688627243042,6.016392230987549,0.1135043203830719,166.2125675333267,17.375919342041016,18.89719009399414,16.197132110595703,11.272600050936946,2.7000579833984375,3398.364990234375,5.020899772644043,-0.4950000047683716,0.5679000020027161,0.35589998960494995,Other
